puuid,match_id,champion,win,kills,deaths,assists,team_position,game_duration
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7872416254,Draven,False,8,7,4,BOTTOM,1636
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7872404019,Samira,False,0,0,0,BOTTOM,99
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7872370785,Draven,False,1,4,1,BOTTOM,924
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7872218785,Draven,True,10,2,4,BOTTOM,1263
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7872169931,Draven,False,9,7,8,BOTTOM,1673
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7864162589,Draven,True,10,5,5,BOTTOM,1350
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7864129525,Draven,False,10,7,7,BOTTOM,1923
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7840509265,Draven,False,6,12,6,BOTTOM,1972
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7840484497,Jinx,True,8,0,4,BOTTOM,1114
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7836585157,Draven,False,2,3,1,BOTTOM,941
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7833170642,Draven,False,5,7,3,BOTTOM,1521
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7833151710,Draven,True,9,3,4,BOTTOM,1110
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7829733932,Jinx,True,3,3,13,BOTTOM,2244
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7829700627,Draven,False,2,8,8,BOTTOM,1532
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7829629090,Thresh,True,1,2,21,UTILITY,1701
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7829588523,Draven,False,3,10,2,BOTTOM,1543
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7828269760,Draven,False,11,5,5,BOTTOM,1819
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7822721138,Draven,True,16,7,14,BOTTOM,2851
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7822672881,Samira,False,7,2,1,BOTTOM,1658
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7819770327,Fiora,False,7,11,6,TOP,2305
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7819702116,Draven,True,12,4,4,BOTTOM,1738
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7810178970,Draven,True,9,9,8,BOTTOM,1693
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7810145120,Zac,False,2,6,6,JUNGLE,1181
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7810086243,Draven,False,9,12,10,BOTTOM,1902
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7810085503,Samira,True,0,0,0,BOTTOM,104
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7809132448,Draven,True,8,3,6,BOTTOM,1542
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7809074579,Draven,True,9,8,10,BOTTOM,1972
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7809013512,Draven,True,13,3,4,BOTTOM,2168
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7808922371,Draven,True,9,1,9,BOTTOM,1482
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7808867880,Draven,True,11,4,8,BOTTOM,1578
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7808820840,Draven,True,13,9,9,BOTTOM,1919
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7806594373,Yasuo,False,5,7,3,MIDDLE,1646
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7806554892,Samira,False,3,12,5,BOTTOM,1726
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7806520088,Malphite,False,0,5,6,TOP,1510
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7805863155,Draven,True,21,7,12,BOTTOM,2208
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7805811680,Draven,True,10,7,15,BOTTOM,1606
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7805637357,Draven,True,5,7,8,BOTTOM,1894
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7805594404,Qiyana,False,5,10,8,MIDDLE,1702
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7805556172,Draven,True,1,9,10,BOTTOM,1454
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7804869396,Draven,True,0,0,3,BOTTOM,1052
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7804865619,Draven,False,0,0,0,BOTTOM,74
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7804801319,Draven,True,12,6,7,BOTTOM,1791
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7802458353,Draven,True,11,6,8,BOTTOM,1890
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7802415230,Samira,False,6,10,3,BOTTOM,1432
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7802369729,Fiora,False,3,9,1,TOP,1486
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7793807477,Draven,True,3,4,4,BOTTOM,958
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7747410953,Draven,True,3,3,3,BOTTOM,932
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7747316179,Twitch,False,8,5,7,BOTTOM,2130
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,EUW1_7722387303,Twitch,True,4,3,8,BOTTOM,1734
