puuid,tier,rank,games,main_champion,main_champ_games,otp_score,winrate
MTrbwElycfUFdrlmlKooGDJOdsGIX-SIu78x4xU0LgtYnorRlkNCCzDY5IY5BQIfXIGwdFpzR17Vyw,DIAMOND,I,50,Draven,33,0.66,0.52
Ea9DrPZ8qeTNm7oTJEnw3Ez6rReZFBrFEHAxFa34eNpA3uzhpfyDXGurnK8zM_rFE6vikR56p5FELA,DIAMOND,I,50,Urgot,43,0.86,0.64
lQ6kJJa-UGmdlSaD6RcRJeGDOjpJsy3jflRvpDNO0h_nJOG5PBtJbUIVzHn0IxioHqAGN-x2W74ZUQ,DIAMOND,I,49,Shen,26,0.5306122448979592,0.4897959183673469
qT8C8M1dYEv3wTK8owqhb3rSC8wpxikl0fPWfM6jH_OcR5uw8fjCkntpwd6YU0HX6KgTdaa7VpB3gg,DIAMOND,I,50,Gangplank,47,0.94,0.6
YQKvxE_8o229geU7UpJ2jbdoDYrXmGYUvpXMduNm9phomsJG0G0U83gqP_nCbEO2tM0Zz8RIe3HllQ,DIAMOND,I,50,Nautilus,12,0.24,0.54
K9cF51FtWglhfV_JfE47rwvy4BFTy41Sq7n_ZrMk5ldBCE-iD39bsr8Q4CK16QKILT92BHIBGYoeBA,DIAMOND,I,50,Senna,6,0.12,0.54
jgSudTPlm_kExLrVLMeXWvgWYfE5LMT-bE-MmxzI34R41tvEfYH7APduHxztJ2uGc1AaJqQcLp8ocg,DIAMOND,I,50,Mordekaiser,37,0.74,0.54
YUBsXF7mCFADBvdSq6F5zCCvqZkbEQXRv65zEax5Fmyqa8OJgpR39wo1oIVuPdcSHQUnWZQEHHWbfw,DIAMOND,I,50,Aphelios,11,0.22,0.42
NLK5RdRz9KvN0QNIGOXOVWkcOVgoCEnpAh8RUI8GofgmicXbuawTtZS26ZlsTk5ZYffP8rR7L8PK9w,DIAMOND,I,50,Riven,15,0.3,0.52
v3cWrMjiQeEGzc1PdjlNe2cKV5HAJ36An60nGiZT5az1I8rRuru_y_7o0gNHp9ySHKfax-S_e8nmlw,DIAMOND,I,50,Soraka,30,0.6,0.6
1MDjCAyT8Pbp-LnOofhS9MUIqfGZXJyePRRGwAuJ6QOPX0MzSSi2KbM4cZ5Q9NS7fAdkGHUKjc4MVw,DIAMOND,I,50,Viktor,16,0.32,0.52
hrvt_006sGjl0fXDjljn2vlBHCVQoArzbK98hllqo9uk17NSsIJVfjJ-jaREhQNHOoJYOiYml2EFTg,DIAMOND,I,50,Kaisa,7,0.14,0.52
5uTjaWO0TEOXQBJsdIq8RvYvJBHY8svugDgI1d2ICLsXCgE2UiQpEt5dAhmjns7q2S0EBxyVppxxAA,DIAMOND,I,50,Qiyana,43,0.86,0.64
LOm25MFeOsX9AN3ckHy7tcOFypEiOQ0XKjM4hWCVFw8PM9S3qO1CqYLd_8JXG48XfXEFgZgDAMXEUA,DIAMOND,I,50,Bard,17,0.34,0.56
63sQ17tz51aEX8rvSeRFOeCF7aKLPt6fymhkqgsaVRkJcqw9X0Ntchm_5RBDtAyH9EuPDbBZkN40fA,DIAMOND,I,49,Nautilus,41,0.8367346938775511,0.6326530612244898
JOu_aC0hRNOihrLdxiKNtdTJnO7aKcxgWRoTej6M3x4TDlwkxcqvI1oNamJ0AFWuMog0tv_NOcp5aA,DIAMOND,I,50,Nocturne,35,0.7,0.48
EPR5kSY90avOTCzh7Og_Jm2wP4gyp-br56DhdeiHDX5wJ59sZwZ-yK3gldZzzgi9R9dCAUMKcCC6XQ,DIAMOND,I,50,Ashe,16,0.32,0.36
-exCQcvVRPQ9BEX1wcqidk8kg4AszyXeSTzZdKSofnn0ulKTIdAiMb-OtecJrBlauhuVi1A8-ev-LQ,DIAMOND,I,50,Darius,25,0.5,0.46
BCXzm8Ycr965StfR9n4kApRAUM0F0iOIM5crrtS4ra1l9DFt3_jP0fE15I_xTijX2CzqRpiSzr7YEw,DIAMOND,I,50,Gragas,7,0.14,0.54
-sxRBJGOeqdUYeUh4DFLEki0nInCW0FtcYQAXD7rZDgn80Zcxrf98QrqA6msmcYNBTzEkODO7IxuQw,DIAMOND,I,50,Thresh,42,0.84,0.5
